,handle,solvedCount,voteCount,class,tier,ratingByProblemsSum,university
00_jw,00_jw,7,0,0,0,18,국민대학교
00cwooh,00cwooh,143,0,3,12,773,서울대학교
00jun0102,00jun0102,145,0,3,12,784,연세대학교
00skgun,00skgun,13,0,0,2,59,숭실대학교
00yhs,00yhs,236,0,3,12,747,숭실대학교
01089292615,01089292615,1574,27,6,19,1677,아주대학교
010jisung,010jisung,54,0,2,8,309,숭실대학교
010psj,010psj,189,0,3,13,975,고려대학교
01110607,01110607,12,0,0,0,14,아주대학교
0124sung,0124sung,54,0,1,7,332,한양대학교
0131tom,0131tom,93,0,1,7,232,한양대학교
01betty,01betty,43,0,1,5,133,서강대학교
01quen10,01quen10,1,0,0,0,1,고려대학교
01zxcv,01zxcv,233,0,4,15,1166,중앙대학교
0208ehdgus,0208ehdgus,34,0,0,7,326,성균관대학교
0218jhlee,0218jhlee,904,40,7,21,1837,성균관대학교
0220john,0220john,88,0,3,11,736,KAIST
0223jinwon,0223jinwon,210,0,4,14,1031,서울대학교
0225kwon,0225kwon,11,0,0,1,46,KAIST
02dskim,02dskim,81,0,1,7,263,서강대학교
02hyeok,02hyeok,183,0,2,11,713,성균관대학교
02leejiyun,02leejiyun,90,0,1,7,301,중앙대학교
030,030,11,0,0,3,83,POSTECH
0305jimin,0305jimin,187,0,2,11,792,중앙대학교
0313mini,0313mini,31,0,1,3,45,고려대학교
0324sam,0324sam,111,0,1,10,555,중앙대학교
04namkyung,04namkyung,13,0,0,1,19,성균관대학교
0515,0515,80,0,0,9,508,고려대학교
0527sophie,0527sophie,99,0,1,8,390,서강대학교
0527sy,0527sy,28,0,1,3,71,중앙대학교
05hystony,05hystony,21,0,0,2,56,서강대학교
070370,070370,34,0,1,3,49,KAIST
0726dohyun,0726dohyun,238,0,3,12,748,고려대학교
0802ojw,0802ojw,178,0,3,12,887,아주대학교
0803whdgus,0803whdgus,30,0,1,3,50,아주대학교
0913vision,0913vision,324,0,3,14,1084,서강대학교
0917ba,0917ba,692,148,6,19,1663,POSTECH
0_in,0_in,309,0,4,15,1129,서강대학교
0_o,0_o,578,59,5,17,1424,숭실대학교
0heavensbee,0heavensbee,39,0,0,5,156,성균관대학교
0hoon,0hoon,59,0,5,12,730,고려대학교
0min1495,0min1495,97,0,2,9,386,고려대학교
0pt3ryx,0pt3ryx,66,0,1,7,251,고려대학교
0rch1d,0rch1d,698,0,5,18,1625,아주대학교
0tlas,0tlas,18,0,0,1,30,서울대학교
0x0B,0x0B,61,0,1,7,302,한양대학교
